Image,Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
big_char_1793.png,PQ,41,7,0.85,0.15,33,15,0.69,0.31,38,10,0.79,0.21,42,6,0.88,0.12,18,30,0.38,0.62,27,21,0.56,0.44,47,1,0.98,0.02,37,11,0.77,0.23,46,2,0.96,0.04,329,103,0.67,0.21
big_char_1787.png,,43,5,0.90,0.10,37,11,0.77,0.23,45,3,0.94,0.06,46,2,0.96,0.04,22,26,0.46,0.54,43,5,0.90,0.10,42,6,0.88,0.12,18,30,0.38,0.62,42,6,0.88,0.12,338,94,0.65,0.18
big_char_206.png,A,20,0,1.00,0.00,10,10,0.50,0.50,12,8,0.60,0.40,12,8,0.60,0.40,9,11,0.45,0.55,11,9,0.55,0.45,10,10,0.50,0.50,20,0,1.00,0.00,8,12,0.40,0.60,112,68,0.55,0.33
big_char_560.png,R,20,0,1.00,0.00,13,7,0.65,0.35,10,10,0.50,0.50,18,2,0.90,0.10,9,11,0.45,0.55,8,12,0.40,0.60,10,10,0.50,0.50,12,8,0.60,0.40,8,12,0.40,0.60,108,72,0.52,0.35
big_char_1778.png,,15,3,0.83,0.17,7,11,0.39,0.61,7,11,0.39,0.61,8,10,0.44,0.56,7,11,0.39,0.61,12,6,0.67,0.33,10,8,0.56,0.44,11,7,0.61,0.39,11,7,0.61,0.39,88,74,0.44,0.37
big_char_574.png,,4,0,1.00,0.00,1,3,0.25,0.75,1,3,0.25,0.75,4,0,1.00,0.00,0,4,0.00,1.00,0,4,0.00,1.00,4,0,1.00,0.00,2,2,0.50,0.50,0,4,0.00,1.00,16,20,0.23,0.29
big_char_1036.png,A,12,0,1.00,0.00,8,4,0.67,0.33,5,7,0.42,0.58,9,3,0.75,0.25,1,11,0.08,0.92,3,9,0.25,0.75,6,6,0.50,0.50,9,3,0.75,0.25,8,4,0.67,0.33,61,47,0.43,0.33
big_char_1750.png,,46,2,0.96,0.04,22,26,0.46,0.54,37,11,0.77,0.23,45,3,0.94,0.06,27,21,0.56,0.44,33,15,0.69,0.31,48,0,1.00,0.00,47,1,0.98,0.02,48,0,1.00,0.00,353,79,0.74,0.17
big_char_1744.png,N,9,6,0.60,0.40,4,11,0.27,0.73,11,4,0.73,0.27,6,9,0.40,0.60,2,13,0.13,0.87,6,9,0.40,0.60,7,8,0.47,0.53,7,8,0.47,0.53,0,15,0.00,1.00,52,83,0.28,0.44
big_char_548.png,B,11,1,0.92,0.08,12,0,1.00,0.00,10,2,0.83,0.17,12,0,1.00,0.00,12,0,1.00,0.00,6,6,0.50,0.50,9,3,0.75,0.25,8,4,0.67,0.33,6,6,0.50,0.50,86,22,0.65,0.17
big_char_979.png,P,38,10,0.79,0.21,29,19,0.60,0.40,40,8,0.83,0.17,46,2,0.96,0.04,28,20,0.58,0.42,39,9,0.81,0.19,45,3,0.94,0.06,32,16,0.67,0.33,47,1,0.98,0.02,344,88,0.70,0.18
big_char_1585.png,BC,44,4,0.92,0.08,35,13,0.73,0.27,48,0,1.00,0.00,33,15,0.69,0.31,28,20,0.58,0.42,48,0,1.00,0.00,40,8,0.83,0.17,39,9,0.81,0.19,48,0,1.00,0.00,363,69,0.76,0.15
big_char_762.png,R,20,0,1.00,0.00,12,8,0.60,0.40,15,5,0.75,0.25,10,10,0.50,0.50,8,12,0.40,0.60,17,3,0.85,0.15,7,13,0.35,0.65,17,3,0.85,0.15,12,8,0.60,0.40,118,62,0.53,0.28
big_char_1208.png,S,42,6,0.88,0.12,43,5,0.90,0.10,47,1,0.98,0.02,34,14,0.71,0.29,27,21,0.56,0.44,47,1,0.98,0.02,44,4,0.92,0.08,21,27,0.44,0.56,43,5,0.90,0.10,348,84,0.70,0.17
big_char_39.png,P,48,0,1.00,0.00,48,0,1.00,0.00,48,0,1.00,0.00,38,10,0.79,0.21,38,10,0.79,0.21,48,0,1.00,0.00,32,16,0.67,0.33,20,28,0.42,0.58,48,0,1.00,0.00,368,64,0.71,0.12
big_char_986.png,F,9,3,0.75,0.25,5,7,0.42,0.58,5,7,0.42,0.58,3,9,0.25,0.75,6,6,0.50,0.50,6,6,0.50,0.50,3,9,0.25,0.75,11,1,0.92,0.08,12,0,1.00,0.00,60,48,0.39,0.31
big_char_1552.png,,47,1,0.98,0.02,45,3,0.94,0.06,43,5,0.90,0.10,41,7,0.85,0.15,26,22,0.54,0.46,44,4,0.92,0.08,47,1,0.98,0.02,20,28,0.42,0.58,37,11,0.77,0.23,350,82,0.74,0.17
big_char_1220.png,,12,4,0.75,0.25,6,10,0.38,0.62,8,8,0.50,0.50,16,0,1.00,0.00,8,8,0.50,0.50,13,3,0.81,0.19,9,7,0.56,0.44,6,10,0.38,0.62,12,4,0.75,0.25,90,54,0.46,0.28
big_char_1546.png,X,14,2,0.88,0.12,14,2,0.88,0.12,8,8,0.50,0.50,16,0,1.00,0.00,4,12,0.25,0.75,13,3,0.81,0.19,10,6,0.62,0.38,6,10,0.38,0.62,15,1,0.94,0.06,100,44,0.59,0.26
big_char_1383.png,T,12,8,0.60,0.40,8,12,0.40,0.60,6,14,0.30,0.70,20,0,1.00,0.00,11,9,0.55,0.45,20,0,1.00,0.00,14,6,0.70,0.30,17,3,0.85,0.15,20,0,1.00,0.00,128,52,0.57,0.23
big_char_1397.png,D,47,1,0.98,0.02,36,12,0.75,0.25,41,7,0.85,0.15,48,0,1.00,0.00,26,22,0.54,0.46,41,7,0.85,0.15,46,2,0.96,0.04,26,22,0.54,0.46,47,1,0.98,0.02,358,74,0.75,0.16
big_char_825.png,,14,2,0.88,0.12,11,5,0.69,0.31,10,6,0.62,0.38,8,8,0.50,0.50,9,7,0.56,0.44,10,6,0.62,0.38,6,10,0.38,0.62,13,3,0.81,0.19,7,9,0.44,0.56,88,56,0.52,0.33
big_char_616.png,R,17,3,0.85,0.15,11,9,0.55,0.45,15,5,0.75,0.25,8,12,0.40,0.60,2,18,0.10,0.90,15,5,0.75,0.25,11,9,0.55,0.45,19,1,0.95,0.05,13,7,0.65,0.35,111,69,0.57,0.35
big_char_170.png,R,15,0,1.00,0.00,9,6,0.60,0.40,8,7,0.53,0.47,8,7,0.53,0.47,6,9,0.40,0.60,7,8,0.47,0.53,5,10,0.33,0.67,10,5,0.67,0.33,3,12,0.20,0.80,71,64,0.40,0.36
big_char_602.png,F,12,4,0.75,0.25,7,9,0.44,0.56,10,6,0.62,0.38,8,8,0.50,0.50,7,9,0.44,0.56,12,4,0.75,0.25,5,11,0.31,0.69,16,0,1.00,0.00,16,0,1.00,0.00,93,51,0.60,0.33
big_char_1426.png,A,14,2,0.88,0.12,13,3,0.81,0.19,7,9,0.44,0.56,12,4,0.75,0.25,1,15,0.06,0.94,14,2,0.88,0.12,13,3,0.81,0.19,13,3,0.81,0.19,12,4,0.75,0.25,99,45,0.59,0.27
big_char_1340.png,O,10,6,0.62,0.38,6,10,0.38,0.62,15,1,0.94,0.06,7,9,0.44,0.56,13,3,0.81,0.19,7,9,0.44,0.56,13,3,0.81,0.19,7,9,0.44,0.56,9,7,0.56,0.44,87,57,0.60,0.40
