Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
big_char_1070_W.png,W,,238,70,0.77,0.23,263,45,0.85,0.15,178,130,0.58,0.42,182,126,0.59,0.41,861,371,0.68,0.29
big_char_1329_R.png,R,,861,111,0.89,0.11,910,62,0.94,0.06,854,118,0.88,0.12,894,78,0.92,0.08,3519,369,0.91,0.09
big_char_1417_O.png,O,,202,54,0.79,0.21,181,75,0.71,0.29,183,73,0.71,0.29,148,108,0.58,0.42,714,310,0.68,0.29
big_char_656_R.png,R,R,182,141,0.56,0.44,282,41,0.87,0.13,227,96,0.70,0.30,254,69,0.79,0.21,945,347,0.71,0.26
big_char_1172_G.png,G,G,212,68,0.76,0.24,183,97,0.65,0.35,209,71,0.75,0.25,147,133,0.53,0.47,751,369,0.65,0.32
big_char_493_S.png,S,,841,131,0.87,0.13,905,67,0.93,0.07,889,83,0.91,0.09,923,49,0.95,0.05,3558,330,0.92,0.08
big_char_1058_L.png,L,,253,47,0.84,0.16,300,0,1.00,0.00,187,113,0.62,0.38,218,82,0.73,0.27,958,242,0.80,0.20
big_char_801_D.png,D,C,870,75,0.92,0.08,895,50,0.95,0.05,841,104,0.89,0.11,811,134,0.86,0.14,3417,363,0.89,0.09
big_char_1210_D.png,D,S,156,69,0.69,0.31,171,54,0.76,0.24,176,49,0.78,0.22,142,83,0.63,0.37,645,255,0.69,0.27
big_char_1419_W.png,W,,302,106,0.74,0.26,351,57,0.86,0.14,271,137,0.66,0.34,304,104,0.75,0.25,1228,404,0.73,0.24
big_char_591_C.png,C,C,161,77,0.68,0.32,203,35,0.85,0.15,164,74,0.69,0.31,188,50,0.79,0.21,716,236,0.75,0.25
big_char_827_G.png,G,G,280,81,0.78,0.22,292,69,0.81,0.19,263,98,0.73,0.27,233,128,0.65,0.35,1068,376,0.70,0.25
