Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
big_char_1070_W.png,W,,110,25,0.81,0.19,114,21,0.84,0.16,135,0,1.00,0.00,93,42,0.69,0.31,74,61,0.55,0.45,97,38,0.72,0.28,78,57,0.58,0.42,64,71,0.47,0.53,79,56,0.59,0.41,844,371,0.67,0.29
big_char_1329_R.png,R,,432,0,1.00,0.00,382,50,0.88,0.12,412,20,0.95,0.05,410,22,0.95,0.05,252,180,0.58,0.42,432,0,1.00,0.00,418,14,0.97,0.03,355,77,0.82,0.18,426,6,0.99,0.01,3519,369,0.91,0.09
big_char_1417_O.png,O,,94,16,0.85,0.15,61,49,0.55,0.45,89,21,0.81,0.19,73,37,0.66,0.34,110,0,1.00,0.00,57,53,0.52,0.48,83,27,0.75,0.25,70,40,0.64,0.36,51,59,0.46,0.54,688,302,0.65,0.29
big_char_656_R.png,R,R,85,47,0.64,0.36,66,66,0.50,0.50,131,1,0.99,0.01,50,82,0.38,0.62,101,31,0.77,0.23,132,0,1.00,0.00,106,26,0.80,0.20,86,46,0.65,0.35,89,43,0.67,0.33,846,342,0.64,0.26
big_char_1172_G.png,G,G,104,13,0.89,0.11,69,48,0.59,0.41,87,30,0.74,0.26,59,58,0.50,0.50,101,16,0.86,0.14,38,79,0.32,0.68,98,19,0.84,0.16,79,38,0.68,0.32,49,68,0.42,0.58,684,369,0.59,0.32
big_char_493_S.png,S,,409,23,0.95,0.05,337,95,0.78,0.22,423,9,0.98,0.02,401,31,0.93,0.07,319,113,0.74,0.26,432,0,1.00,0.00,412,20,0.95,0.05,393,39,0.91,0.09,432,0,1.00,0.00,3558,330,0.92,0.08
big_char_1058_L.png,L,,107,23,0.82,0.18,130,0,1.00,0.00,130,0,1.00,0.00,86,44,0.66,0.34,130,0,1.00,0.00,130,0,1.00,0.00,68,62,0.52,0.48,70,60,0.54,0.46,77,53,0.59,0.41,928,242,0.77,0.20
big_char_801_D.png,D,C,414,0,1.00,0.00,400,14,0.97,0.03,412,2,1.00,0.00,411,3,0.99,0.01,248,166,0.60,0.40,350,64,0.85,0.15,408,6,0.99,0.01,313,101,0.76,0.24,407,7,0.98,0.02,3363,363,0.88,0.09
big_char_1210_D.png,D,S,69,31,0.69,0.31,56,44,0.56,0.44,98,2,0.98,0.02,80,20,0.80,0.20,92,8,0.92,0.08,50,50,0.50,0.50,77,23,0.77,0.23,60,40,0.60,0.40,63,37,0.63,0.37,645,255,0.69,0.27
big_char_1419_W.png,W,,129,47,0.73,0.27,162,14,0.92,0.08,151,25,0.86,0.14,145,31,0.82,0.18,119,57,0.68,0.32,127,49,0.72,0.28,135,41,0.77,0.23,93,83,0.53,0.47,125,51,0.71,0.29,1186,398,0.71,0.24
big_char_591_C.png,C,C,73,26,0.74,0.26,46,53,0.46,0.54,89,10,0.90,0.10,57,42,0.58,0.42,99,0,1.00,0.00,99,0,1.00,0.00,67,32,0.68,0.32,57,42,0.58,0.42,68,31,0.69,0.31,655,236,0.69,0.25
big_char_827_G.png,G,G,143,26,0.85,0.15,114,55,0.67,0.33,134,35,0.79,0.21,117,52,0.69,0.31,99,70,0.59,0.41,168,1,0.99,0.01,133,36,0.79,0.21,86,83,0.51,0.49,151,18,0.89,0.11,1145,376,0.75,0.25
big_char_903_C.png,C,C,430,2,1.00,0.00,387,45,0.90,0.10,416,16,0.96,0.04,371,61,0.86,0.14,416,16,0.96,0.04,432,0,1.00,0.00,426,6,0.99,0.01,334,98,0.77,0.23,430,2,1.00,0.00,3642,246,0.90,0.06
big_char_973_J.png,J,R,407,7,0.98,0.02,324,90,0.78,0.22,407,7,0.98,0.02,381,33,0.92,0.08,344,70,0.83,0.17,414,0,1.00,0.00,399,15,0.96,0.04,329,85,0.79,0.21,414,0,1.00,0.00,3419,307,0.89,0.08
big_char_1357_C.png,C,C,129,14,0.90,0.10,95,48,0.66,0.34,116,27,0.81,0.19,91,52,0.64,0.36,143,0,1.00,0.00,143,0,1.00,0.00,98,45,0.69,0.31,101,42,0.71,0.29,100,43,0.70,0.30,1016,271,0.77,0.20
big_char_88_B.png,B,,391,0,1.00,0.00,227,164,0.58,0.42,391,0,1.00,0.00,390,1,1.00,0.00,215,176,0.55,0.45,391,0,1.00,0.00,384,7,0.98,0.02,291,100,0.74,0.26,391,0,1.00,0.00,3071,448,0.82,0.12
big_char_199_U.png,U,,411,3,0.99,0.01,398,16,0.96,0.04,386,28,0.93,0.07,368,46,0.89,0.11,349,65,0.84,0.16,349,65,0.84,0.16,402,12,0.97,0.03,331,83,0.80,0.20,409,5,0.99,0.01,3403,323,0.88,0.08
big_char_1406_P.png,P,,81,7,0.92,0.08,48,40,0.55,0.45,39,49,0.44,0.56,24,64,0.27,0.73,59,29,0.67,0.33,74,14,0.84,0.16,42,46,0.48,0.52,88,0,1.00,0.00,88,0,1.00,0.00,543,249,0.66,0.30
big_char_770_T.png,T,,87,45,0.66,0.34,63,69,0.48,0.52,86,46,0.65,0.35,132,0,1.00,0.00,83,49,0.63,0.37,132,0,1.00,0.00,132,0,1.00,0.00,90,42,0.68,0.32,132,0,1.00,0.00,937,251,0.77,0.21
big_char_164_U.png,U,U,414,0,1.00,0.00,388,26,0.94,0.06,379,35,0.92,0.08,414,0,1.00,0.00,315,99,0.76,0.24,323,91,0.78,0.22,414,0,1.00,0.00,331,83,0.80,0.20,402,12,0.97,0.03,3380,346,0.87,0.09
big_char_95_P.png,P,C,391,0,1.00,0.00,326,65,0.83,0.17,350,41,0.90,0.10,391,0,1.00,0.00,260,131,0.66,0.34,373,18,0.95,0.05,391,0,1.00,0.00,360,31,0.92,0.08,391,0,1.00,0.00,3233,286,0.87,0.08
big_char_893_J.png,J,V,83,27,0.75,0.25,44,66,0.40,0.60,76,34,0.69,0.31,110,0,1.00,0.00,63,47,0.57,0.43,110,0,1.00,0.00,64,46,0.58,0.42,50,60,0.45,0.55,110,0,1.00,0.00,710,280,0.68,0.27
big_char_901_A.png,A,A,430,2,1.00,0.00,375,57,0.87,0.13,432,0,1.00,0.00,414,18,0.96,0.04,223,209,0.52,0.48,432,0,1.00,0.00,401,31,0.93,0.07,390,42,0.90,0.10,432,0,1.00,0.00,3529,359,0.89,0.09
big_char_560_Y.png,Y,,104,39,0.73,0.27,78,65,0.55,0.45,123,20,0.86,0.14,143,0,1.00,0.00,127,16,0.89,0.11,82,61,0.57,0.43,95,48,0.66,0.34,99,44,0.69,0.31,82,61,0.57,0.43,933,354,0.67,0.25
big_char_226_S.png,S,,100,0,1.00,0.00,42,58,0.42,0.58,66,34,0.66,0.34,91,9,0.91,0.09,93,7,0.93,0.07,60,40,0.60,0.40,62,38,0.62,0.38,60,40,0.60,0.40,58,42,0.58,0.42,632,268,0.66,0.28
big_char_715_F.png,F,F,120,24,0.83,0.17,86,58,0.60,0.40,106,38,0.74,0.26,66,78,0.46,0.54,93,51,0.65,0.35,135,9,0.94,0.06,87,57,0.60,0.40,144,0,1.00,0.00,144,0,1.00,0.00,981,315,0.74,0.24
big_char_200_G.png,G,S,112,32,0.78,0.22,98,46,0.68,0.32,125,19,0.87,0.13,98,46,0.68,0.32,92,52,0.64,0.36,75,69,0.52,0.48,120,24,0.83,0.17,98,46,0.68,0.32,88,56,0.61,0.39,906,390,0.68,0.29
big_char_617_V.png,V,,394,14,0.97,0.03,390,18,0.96,0.04,408,0,1.00,0.00,353,55,0.87,0.13,294,114,0.72,0.28,408,0,1.00,0.00,404,4,0.99,0.01,352,56,0.86,0.14,408,0,1.00,0.00,3411,261,0.89,0.07
big_char_499_O.png,O,C,55,33,0.62,0.38,60,28,0.68,0.32,82,6,0.93,0.07,46,42,0.52,0.48,87,1,0.99,0.01,47,41,0.53,0.47,65,23,0.74,0.26,39,49,0.44,0.56,33,55,0.38,0.62,514,278,0.59,0.32
big_char_765_X.png,X,D,80,52,0.61,0.39,132,0,1.00,0.00,96,36,0.73,0.27,111,21,0.84,0.16,59,73,0.45,0.55,116,16,0.88,0.12,93,39,0.70,0.30,96,36,0.73,0.27,81,51,0.61,0.39,864,324,0.65,0.24
big_char_868_L.png,L,,70,38,0.65,0.35,107,1,0.99,0.01,108,0,1.00,0.00,71,37,0.66,0.34,108,0,1.00,0.00,108,0,1.00,0.00,44,64,0.41,0.59,60,48,0.56,0.44,64,44,0.59,0.41,740,232,0.71,0.22
big_char_523_H.png,H,N,64,46,0.58,0.42,110,0,1.00,0.00,94,16,0.85,0.15,50,60,0.45,0.55,65,45,0.59,0.41,64,46,0.58,0.42,67,43,0.61,0.39,101,9,0.92,0.08,58,52,0.53,0.47,673,317,0.64,0.30
big_char_171_Y.png,Y,Q,432,0,1.00,0.00,432,0,1.00,0.00,431,1,1.00,0.00,395,37,0.91,0.09,290,142,0.67,0.33,432,0,1.00,0.00,425,7,0.98,0.02,326,106,0.75,0.25,432,0,1.00,0.00,3595,293,0.92,0.08
big_char_60_N.png,N,V,406,2,1.00,0.00,388,20,0.95,0.05,408,0,1.00,0.00,340,68,0.83,0.17,261,147,0.64,0.36,371,37,0.91,0.09,375,33,0.92,0.08,373,35,0.91,0.09,408,0,1.00,0.00,3330,342,0.87,0.09
big_char_10_G.png,G,,138,18,0.88,0.12,104,52,0.67,0.33,104,52,0.67,0.33,104,52,0.67,0.33,120,36,0.77,0.23,127,29,0.81,0.19,121,35,0.78,0.22,106,50,0.68,0.32,90,66,0.58,0.42,1014,390,0.67,0.26
big_char_977_N.png,N,T,418,14,0.97,0.03,419,13,0.97,0.03,419,13,0.97,0.03,359,73,0.83,0.17,315,117,0.73,0.27,346,86,0.80,0.20,393,39,0.91,0.09,346,86,0.80,0.20,423,9,0.98,0.02,3438,450,0.87,0.11
big_char_823_C.png,C,C,83,17,0.83,0.17,59,41,0.59,0.41,91,9,0.91,0.09,49,51,0.49,0.51,99,1,0.99,0.01,100,0,1.00,0.00,89,11,0.89,0.11,53,47,0.53,0.47,59,41,0.59,0.41,682,218,0.71,0.23
big_char_1174_V.png,V,,414,0,1.00,0.00,414,0,1.00,0.00,414,0,1.00,0.00,410,4,0.99,0.01,289,125,0.70,0.30,385,29,0.93,0.07,414,0,1.00,0.00,292,122,0.71,0.29,414,0,1.00,0.00,3446,280,0.88,0.07
big_char_1117_U.png,U,K,414,0,1.00,0.00,414,0,1.00,0.00,414,0,1.00,0.00,373,41,0.90,0.10,386,28,0.93,0.07,414,0,1.00,0.00,361,53,0.87,0.13,334,80,0.81,0.19,414,0,1.00,0.00,3524,202,0.92,0.05
big_char_809_M.png,M,M,381,10,0.97,0.03,362,29,0.93,0.07,391,0,1.00,0.00,312,79,0.80,0.20,180,211,0.46,0.54,357,34,0.91,0.09,351,40,0.90,0.10,381,10,0.97,0.03,384,7,0.98,0.02,3099,420,0.82,0.11
