Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_0_3,Black_0_3,White_Density_0_3,Black_Density_0_3,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_1_3,Black_1_3,White_Density_1_3,Black_Density_1_3,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,White_2_3,Black_2_3,White_Density_2_3,Black_Density_2_3,White_3_0,Black_3_0,White_Density_3_0,Black_Density_3_0,White_3_1,Black_3_1,White_Density_3_1,Black_Density_3_1,White_3_2,Black_3_2,White_Density_3_2,Black_Density_3_2,White_3_3,Black_3_3,White_Density_3_3,Black_Density_3_3,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
big_char_1070_W.png,W,,59,18,0.77,0.23,72,5,0.94,0.06,71,6,0.92,0.08,77,0,1.00,0.00,47,30,0.61,0.39,60,17,0.78,0.22,57,20,0.74,0.26,58,19,0.75,0.25,39,38,0.51,0.49,44,33,0.57,0.43,41,36,0.53,0.47,42,35,0.55,0.45,59,18,0.77,0.23,36,41,0.47,0.53,48,29,0.62,0.38,51,26,0.66,0.34,861,371,0.68,0.29
big_char_1329_R.png,R,,234,0,1.00,0.00,232,2,0.99,0.01,230,4,0.98,0.02,218,16,0.93,0.07,234,0,1.00,0.00,137,97,0.59,0.41,192,42,0.82,0.18,234,0,1.00,0.00,234,0,1.00,0.00,123,111,0.53,0.47,205,29,0.88,0.12,234,0,1.00,0.00,234,0,1.00,0.00,217,17,0.93,0.07,193,41,0.82,0.18,230,4,0.98,0.02,3381,363,0.87,0.09
big_char_1417_O.png,O,,63,1,0.98,0.02,36,28,0.56,0.44,34,30,0.53,0.47,64,0,1.00,0.00,41,23,0.64,0.36,62,2,0.97,0.03,41,23,0.64,0.36,42,22,0.66,0.34,32,32,0.50,0.50,64,0,1.00,0.00,64,0,1.00,0.00,28,36,0.44,0.56,54,10,0.84,0.16,33,31,0.52,0.48,32,32,0.50,0.50,24,40,0.38,0.62,714,310,0.68,0.29
big_char_656_R.png,R,R,58,14,0.81,0.19,39,33,0.54,0.46,40,32,0.56,0.44,72,0,1.00,0.00,28,44,0.39,0.61,39,33,0.54,0.46,55,17,0.76,0.24,72,0,1.00,0.00,31,41,0.43,0.57,29,43,0.40,0.60,69,3,0.96,0.04,72,0,1.00,0.00,62,10,0.86,0.14,66,6,0.92,0.08,40,32,0.56,0.44,41,31,0.57,0.43,813,339,0.61,0.25
big_char_1172_G.png,G,G,70,0,1.00,0.00,46,24,0.66,0.34,34,36,0.49,0.51,55,15,0.79,0.21,41,29,0.59,0.41,55,15,0.79,0.21,39,31,0.56,0.44,55,15,0.79,0.21,31,39,0.44,0.56,44,26,0.63,0.37,35,35,0.50,0.50,16,54,0.23,0.77,70,0,1.00,0.00,64,6,0.91,0.09,44,26,0.63,0.37,52,18,0.74,0.26,751,369,0.65,0.32
big_char_493_S.png,S,,234,0,1.00,0.00,197,37,0.84,0.16,176,58,0.75,0.25,234,0,1.00,0.00,234,0,1.00,0.00,142,92,0.61,0.39,230,4,0.98,0.02,234,0,1.00,0.00,222,12,0.95,0.05,161,73,0.69,0.31,180,54,0.77,0.23,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,3414,330,0.88,0.08
big_char_1058_L.png,L,,57,13,0.81,0.19,70,0,1.00,0.00,70,0,1.00,0.00,70,0,1.00,0.00,41,29,0.59,0.41,70,0,1.00,0.00,70,0,1.00,0.00,70,0,1.00,0.00,41,29,0.59,0.41,70,0,1.00,0.00,70,0,1.00,0.00,70,0,1.00,0.00,24,46,0.34,0.66,27,43,0.39,0.61,24,46,0.34,0.66,41,29,0.59,0.41,885,235,0.74,0.20
big_char_801_D.png,D,C,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,220,1,1.00,0.00,221,0,1.00,0.00,155,66,0.70,0.30,177,44,0.80,0.20,221,0,1.00,0.00,221,0,1.00,0.00,156,65,0.71,0.29,117,104,0.53,0.47,198,23,0.90,0.10,221,0,1.00,0.00,190,31,0.86,0.14,200,21,0.90,0.10,221,0,1.00,0.00,3181,355,0.83,0.09
big_char_1210_D.png,D,S,42,7,0.86,0.14,22,27,0.45,0.55,39,10,0.80,0.20,49,0,1.00,0.00,22,27,0.45,0.55,49,0,1.00,0.00,19,30,0.39,0.61,34,15,0.69,0.31,41,8,0.84,0.16,49,0,1.00,0.00,49,0,1.00,0.00,19,30,0.39,0.61,37,12,0.76,0.24,22,27,0.45,0.55,22,27,0.45,0.55,25,24,0.51,0.49,540,244,0.58,0.26
big_char_1419_W.png,W,,62,34,0.65,0.35,96,0,1.00,0.00,96,0,1.00,0.00,85,11,0.89,0.11,68,28,0.71,0.29,60,36,0.62,0.38,93,3,0.97,0.03,57,39,0.59,0.41,76,20,0.79,0.21,56,40,0.58,0.42,91,5,0.95,0.05,64,32,0.67,0.33,78,18,0.81,0.19,43,53,0.45,0.55,55,41,0.57,0.43,66,30,0.69,0.31,1146,390,0.68,0.23
big_char_591_C.png,C,C,51,5,0.91,0.09,25,31,0.45,0.55,17,39,0.30,0.70,55,1,0.98,0.02,24,32,0.43,0.57,52,4,0.93,0.07,56,0,1.00,0.00,56,0,1.00,0.00,22,34,0.39,0.61,52,4,0.93,0.07,56,0,1.00,0.00,56,0,1.00,0.00,52,4,0.93,0.07,28,28,0.50,0.50,26,30,0.46,0.54,33,23,0.59,0.41,661,235,0.69,0.25
big_char_827_G.png,G,G,81,0,1.00,0.00,57,24,0.70,0.30,44,37,0.54,0.46,52,29,0.64,0.36,53,28,0.65,0.35,64,17,0.79,0.21,81,0,1.00,0.00,81,0,1.00,0.00,43,38,0.53,0.47,67,14,0.83,0.17,17,64,0.21,0.79,80,1,0.99,0.01,68,13,0.84,0.16,49,32,0.60,0.40,19,62,0.23,0.77,71,10,0.88,0.12,927,369,0.61,0.24
big_char_903_C.png,C,C,250,2,0.99,0.01,250,2,0.99,0.01,249,3,0.99,0.01,236,16,0.94,0.06,252,0,1.00,0.00,179,73,0.71,0.29,243,9,0.96,0.04,252,0,1.00,0.00,252,0,1.00,0.00,165,87,0.65,0.35,214,38,0.85,0.15,252,0,1.00,0.00,240,12,0.95,0.05,234,18,0.93,0.07,241,11,0.96,0.04,252,0,1.00,0.00,3761,271,0.93,0.07
big_char_973_J.png,J,R,221,0,1.00,0.00,189,32,0.86,0.14,201,20,0.91,0.09,217,4,0.98,0.02,221,0,1.00,0.00,167,54,0.76,0.24,192,29,0.87,0.13,221,0,1.00,0.00,201,20,0.91,0.09,178,43,0.81,0.19,186,35,0.84,0.16,221,0,1.00,0.00,221,0,1.00,0.00,178,43,0.81,0.19,194,27,0.88,0.12,221,0,1.00,0.00,3229,307,0.84,0.08
big_char_1357_C.png,C,C,72,0,1.00,0.00,54,18,0.75,0.25,38,34,0.53,0.47,53,19,0.74,0.26,52,20,0.72,0.28,54,18,0.75,0.25,72,0,1.00,0.00,72,0,1.00,0.00,35,37,0.49,0.51,72,0,1.00,0.00,72,0,1.00,0.00,72,0,1.00,0.00,47,25,0.65,0.35,42,30,0.58,0.42,56,16,0.78,0.22,56,16,0.78,0.22,919,233,0.69,0.18
big_char_88_B.png,B,,221,0,1.00,0.00,176,45,0.80,0.20,149,72,0.67,0.33,221,0,1.00,0.00,221,0,1.00,0.00,140,81,0.63,0.37,153,68,0.69,0.31,221,0,1.00,0.00,221,0,1.00,0.00,150,71,0.68,0.32,163,58,0.74,0.26,221,0,1.00,0.00,221,0,1.00,0.00,191,30,0.86,0.14,198,23,0.90,0.10,221,0,1.00,0.00,3088,448,0.82,0.12
big_char_199_U.png,U,,221,0,1.00,0.00,221,0,1.00,0.00,217,4,0.98,0.02,221,0,1.00,0.00,221,0,1.00,0.00,171,50,0.77,0.23,157,64,0.71,0.29,221,0,1.00,0.00,221,0,1.00,0.00,144,77,0.65,0.35,136,85,0.62,0.38,221,0,1.00,0.00,221,0,1.00,0.00,211,10,0.95,0.05,209,12,0.95,0.05,221,0,1.00,0.00,3234,302,0.84,0.08
big_char_1406_P.png,P,,48,0,1.00,0.00,35,13,0.73,0.27,22,26,0.46,0.54,23,25,0.48,0.52,23,25,0.48,0.52,14,34,0.29,0.71,22,26,0.46,0.54,28,20,0.58,0.42,8,40,0.17,0.83,44,4,0.92,0.08,48,0,1.00,0.00,48,0,1.00,0.00,14,34,0.29,0.71,46,2,0.96,0.04,48,0,1.00,0.00,48,0,1.00,0.00,519,249,0.63,0.30
big_char_770_T.png,T,,44,28,0.61,0.39,32,40,0.44,0.56,34,38,0.47,0.53,34,38,0.47,0.53,68,4,0.94,0.06,71,1,0.99,0.01,36,36,0.50,0.50,72,0,1.00,0.00,72,0,1.00,0.00,61,11,0.85,0.15,44,28,0.61,0.39,72,0,1.00,0.00,72,0,1.00,0.00,67,5,0.93,0.07,50,22,0.69,0.31,72,0,1.00,0.00,901,251,0.74,0.21
