Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_0_3,Black_0_3,White_Density_0_3,Black_Density_0_3,White_0_4,Black_0_4,White_Density_0_4,Black_Density_0_4,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_1_3,Black_1_3,White_Density_1_3,Black_Density_1_3,White_1_4,Black_1_4,White_Density_1_4,Black_Density_1_4,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,White_2_3,Black_2_3,White_Density_2_3,Black_Density_2_3,White_2_4,Black_2_4,White_Density_2_4,Black_Density_2_4,White_3_0,Black_3_0,White_Density_3_0,Black_Density_3_0,White_3_1,Black_3_1,White_Density_3_1,Black_Density_3_1,White_3_2,Black_3_2,White_Density_3_2,Black_Density_3_2,White_3_3,Black_3_3,White_Density_3_3,Black_Density_3_3,White_3_4,Black_3_4,White_Density_3_4,Black_Density_3_4,White_4_0,Black_4_0,White_Density_4_0,Black_Density_4_0,White_4_1,Black_4_1,White_Density_4_1,Black_Density_4_1,White_4_2,Black_4_2,White_Density_4_2,Black_Density_4_2,White_4_3,Black_4_3,White_Density_4_3,Black_Density_4_3,White_4_4,Black_4_4,White_Density_4_4,Black_Density_4_4,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density,Letter_From_Random_Forest
big_char_1070_W.png,W,,35,10,0.78,0.22,45,0,1.0,0.0,43,2,0.96,0.04,45,0,1.0,0.0,45,0,1.0,0.0,26,19,0.58,0.42,45,0,1.0,0.0,21,24,0.47,0.53,45,0,1.0,0.0,42,3,0.93,0.07,21,24,0.47,0.53,45,0,1.0,0.0,16,29,0.36,0.64,45,0,1.0,0.0,25,20,0.56,0.44,18,27,0.4,0.6,41,4,0.91,0.09,1,44,0.02,0.98,42,3,0.93,0.07,20,25,0.44,0.56,30,15,0.67,0.33,6,39,0.13,0.87,29,16,0.64,0.36,7,38,0.16,0.84,29,16,0.64,0.36,767,358,0.61,0.28,W
big_char_1329_R.png,R,,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,134,6,0.96,0.04,126,14,0.9,0.1,140,0,1.0,0.0,134,6,0.96,0.04,80,60,0.57,0.43,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,94,46,0.67,0.33,63,77,0.45,0.55,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,92,48,0.66,0.34,86,54,0.61,0.39,139,1,0.99,0.01,140,0,1.0,0.0,140,0,1.0,0.0,128,12,0.91,0.09,133,7,0.95,0.05,112,28,0.8,0.2,140,0,1.0,0.0,3141,359,0.81,0.09,R
big_char_1417_O.png,O,,36,0,1.0,0.0,30,6,0.83,0.17,18,18,0.5,0.5,25,11,0.69,0.31,36,0,1.0,0.0,30,6,0.83,0.17,21,15,0.58,0.42,28,8,0.78,0.22,10,26,0.28,0.72,31,5,0.86,0.14,18,18,0.5,0.5,36,0,1.0,0.0,36,0,1.0,0.0,31,5,0.86,0.14,10,26,0.28,0.72,13,23,0.36,0.64,33,3,0.92,0.08,36,0,1.0,0.0,36,0,1.0,0.0,12,24,0.33,0.67,33,3,0.92,0.08,13,23,0.36,0.64,16,20,0.44,0.56,18,18,0.5,0.5,6,30,0.17,0.83,612,288,0.58,0.27,O
big_char_656_R.png,R,R,47,2,0.96,0.04,27,22,0.55,0.45,22,27,0.45,0.55,48,1,0.98,0.02,49,0,1.0,0.0,18,31,0.37,0.63,29,20,0.59,0.41,18,31,0.37,0.63,46,3,0.94,0.06,49,0,1.0,0.0,21,28,0.43,0.57,14,35,0.29,0.71,48,1,0.98,0.02,49,0,1.0,0.0,49,0,1.0,0.0,19,30,0.39,0.61,23,26,0.47,0.53,34,15,0.69,0.31,49,0,1.0,0.0,49,0,1.0,0.0,43,6,0.88,0.12,49,0,1.0,0.0,32,17,0.65,0.35,20,29,0.41,0.59,35,14,0.71,0.29,887,338,0.67,0.25,R
big_char_1172_G.png,G,G,40,0,1.0,0.0,39,1,0.97,0.03,26,14,0.65,0.35,17,23,0.42,0.57,20,20,0.5,0.5,36,4,0.9,0.1,13,27,0.33,0.68,26,14,0.65,0.35,29,11,0.72,0.28,38,2,0.95,0.05,15,25,0.38,0.62,31,9,0.78,0.23,39,1,0.97,0.03,21,19,0.53,0.47,3,37,0.07,0.93,31,9,0.78,0.23,14,26,0.35,0.65,20,20,0.5,0.5,12,28,0.3,0.7,6,34,0.15,0.85,40,0,1.0,0.0,40,0,1.0,0.0,40,0,1.0,0.0,31,9,0.78,0.23,20,20,0.5,0.5,647,353,0.56,0.3,G
big_char_493_S.png,S,,140,0,1.0,0.0,140,0,1.0,0.0,130,10,0.93,0.07,126,14,0.9,0.1,140,0,1.0,0.0,140,0,1.0,0.0,89,51,0.64,0.36,95,45,0.68,0.32,120,20,0.86,0.14,140,0,1.0,0.0,140,0,1.0,0.0,123,17,0.88,0.12,83,57,0.59,0.41,139,1,0.99,0.01,140,0,1.0,0.0,140,0,1.0,0.0,88,52,0.63,0.37,82,58,0.59,0.41,135,5,0.96,0.04,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,3170,330,0.82,0.08,S
big_char_1058_L.png,L,,37,11,0.77,0.23,48,0,1.0,0.0,48,0,1.0,0.0,48,0,1.0,0.0,48,0,1.0,0.0,30,18,0.62,0.38,46,2,0.96,0.04,48,0,1.0,0.0,48,0,1.0,0.0,48,0,1.0,0.0,21,27,0.44,0.56,47,1,0.98,0.02,48,0,1.0,0.0,48,0,1.0,0.0,48,0,1.0,0.0,20,28,0.42,0.58,40,8,0.83,0.17,42,6,0.88,0.12,45,3,0.94,0.06,48,0,1.0,0.0,26,22,0.54,0.46,24,24,0.5,0.5,16,32,0.33,0.67,15,33,0.31,0.69,21,27,0.44,0.56,958,242,0.8,0.2,L
big_char_801_D.png,D,C,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,138,2,0.99,0.01,140,0,1.0,0.0,124,16,0.89,0.11,118,22,0.84,0.16,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,94,46,0.67,0.33,99,41,0.71,0.29,103,37,0.74,0.26,140,0,1.0,0.0,140,0,1.0,0.0,105,35,0.75,0.25,92,48,0.66,0.34,66,74,0.47,0.53,140,0,1.0,0.0,140,0,1.0,0.0,138,2,0.99,0.01,107,33,0.76,0.24,140,0,1.0,0.0,140,0,1.0,0.0,3144,356,0.82,0.09,D
big_char_1210_D.png,D,S,34,2,0.94,0.06,16,20,0.44,0.56,24,12,0.67,0.33,36,0,1.0,0.0,36,0,1.0,0.0,12,24,0.33,0.67,36,0,1.0,0.0,15,21,0.42,0.58,17,19,0.47,0.53,36,0,1.0,0.0,24,12,0.67,0.33,36,0,1.0,0.0,36,0,1.0,0.0,22,14,0.61,0.39,16,20,0.44,0.56,33,3,0.92,0.08,36,0,1.0,0.0,31,5,0.86,0.14,22,14,0.61,0.39,6,30,0.17,0.83,28,8,0.78,0.22,15,21,0.42,0.58,17,19,0.47,0.53,26,10,0.72,0.28,35,1,0.97,0.03,645,255,0.69,0.27,D
big_char_1419_W.png,W,,34,29,0.54,0.46,63,0,1.0,0.0,63,0,1.0,0.0,63,0,1.0,0.0,59,4,0.94,0.06,36,27,0.57,0.43,63,0,1.0,0.0,34,29,0.54,0.46,63,0,1.0,0.0,38,25,0.6,0.4,43,20,0.68,0.32,63,0,1.0,0.0,27,36,0.43,0.57,63,0,1.0,0.0,35,28,0.56,0.44,49,14,0.78,0.22,60,3,0.95,0.05,12,51,0.19,0.81,61,2,0.97,0.03,32,31,0.51,0.49,62,1,0.98,0.02,19,44,0.3,0.7,51,12,0.81,0.19,39,24,0.62,0.38,52,11,0.83,0.17,1184,391,0.7,0.23,W
