Image,Letter,White_0_0,Black_0_0,White_0_1,Black_0_1,White_0_2,Black_0_2,White_0_3,Black_0_3,White_0_4,Black_0_4,White_1_0,Black_1_0,White_1_1,Black_1_1,White_1_2,Black_1_2,White_1_3,Black_1_3,White_1_4,Black_1_4,White_2_0,Black_2_0,White_2_1,Black_2_1,White_2_2,Black_2_2,White_2_3,Black_2_3,White_2_4,Black_2_4,White_3_0,Black_3_0,White_3_1,Black_3_1,White_3_2,Black_3_2,White_3_3,Black_3_3,White_3_4,Black_3_4,White_4_0,Black_4_0,White_4_1,Black_4_1,White_4_2,Black_4_2,White_4_3,Black_4_3,White_4_4,Black_4_4
little_char_810.png,,4,0,3,1,2,2,3,1,4,0,3,1,1,3,2,2,1,3,4,0,3,1,3,1,4,0,2,2,4,0,4,0,3,1,2,2,0,4,2,2,4,0,2,2,1,3,2,2,4,0
little_char_804.png,s,4,0,4,0,2,2,2,2,3,1,4,0,2,2,0,4,2,2,4,0,4,0,4,0,1,3,2,2,4,0,3,1,3,1,4,0,0,4,4,0,3,1,1,3,1,3,2,2,4,0
little_char_44.png,b,6,0,4,2,5,1,6,0,6,0,6,0,3,3,6,0,6,0,6,0,6,0,3,3,6,0,6,0,6,0,6,0,1,5,3,3,2,4,1,5,3,3,0,6,4,2,4,2,2,4
little_char_50.png,,12,3,15,0,15,0,15,0,15,0,12,3,14,1,14,1,15,0,15,0,13,2,12,3,12,3,15,0,15,0,14,1,10,5,10,5,15,0,15,0,15,0,10,5,10,5,15,0,15,0
little_char_1489.png,e,15,0,15,0,15,0,15,0,15,0,15,0,14,1,9,6,15,0,15,0,15,0,10,5,8,7,15,0,15,0,15,0,10,5,10,5,15,0,15,0,15,0,10,5,15,0,15,0,14,1
little_char_1304.png,,12,3,15,0,15,0,15,0,15,0,12,3,15,0,11,4,15,0,15,0,12,3,15,0,11,4,15,0,15,0,12,3,15,0,9,6,15,0,15,0,12,3,8,7,8,7,15,0,15,0
little_char_1310.png,r,14,1,15,0,12,3,11,4,10,5,15,0,15,0,12,3,15,0,15,0,15,0,12,3,4,11,12,3,15,0,15,0,12,3,6,9,15,0,15,0,15,0,12,3,12,3,15,0,15,0
little_char_179.png,,3,1,3,1,4,0,4,0,4,0,4,0,2,2,4,0,4,0,4,0,4,0,0,4,4,0,4,0,4,0,4,0,0,4,2,2,1,3,2,2,2,2,0,4,1,3,2,2,0,4
little_char_1476.png,e,15,0,15,0,15,0,14,1,15,0,15,0,15,0,15,0,15,0,15,0,14,1,5,10,14,1,15,0,15,0,8,7,5,10,14,1,15,0,13,2,9,6,8,7,12,3,15,0,14,1
little_char_637.png,,14,1,12,3,13,2,12,3,10,5,15,0,14,1,13,2,15,0,15,0,15,0,12,3,11,4,13,2,15,0,15,0,12,3,3,12,14,1,15,0,15,0,15,0,9,6,7,8,15,0
