Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
little_char_606_q.png,q,,40,37,0.52,0.48,40,37,0.52,0.48,48,29,0.62,0.38,56,21,0.73,0.27,25,52,0.32,0.68,24,53,0.31,0.69,77,0,1.00,0.00,19,58,0.25,0.75,72,5,0.94,0.06,401,292,0.55,0.40
little_char_300_m.png,m,rs,432,0,1.00,0.00,432,0,1.00,0.00,432,0,1.00,0.00,382,50,0.88,0.12,330,102,0.76,0.24,422,10,0.98,0.02,394,38,0.91,0.09,390,42,0.90,0.10,357,75,0.83,0.17,3571,317,0.92,0.08
little_char_620_e.png,e,,408,0,1.00,0.00,408,0,1.00,0.00,406,2,1.00,0.00,331,77,0.81,0.19,352,56,0.86,0.14,407,1,1.00,0.00,376,32,0.92,0.08,360,48,0.88,0.12,408,0,1.00,0.00,3456,216,0.89,0.06
little_char_1248_m.png,m,,81,17,0.83,0.17,56,42,0.57,0.43,62,36,0.63,0.37,52,46,0.53,0.47,50,48,0.51,0.49,49,49,0.50,0.50,66,32,0.67,0.33,76,22,0.78,0.22,76,22,0.78,0.22,568,314,0.57,0.32
little_char_22_d.png,d,,90,0,1.00,0.00,90,0,1.00,0.00,61,29,0.68,0.32,80,10,0.89,0.11,64,26,0.71,0.29,59,31,0.66,0.34,45,45,0.50,0.50,39,51,0.43,0.57,39,51,0.43,0.57,567,243,0.61,0.26
little_char_328_a.png,a,a,432,0,1.00,0.00,353,79,0.82,0.18,432,0,1.00,0.00,432,0,1.00,0.00,281,151,0.65,0.35,380,52,0.88,0.12,432,0,1.00,0.00,432,0,1.00,0.00,425,7,0.98,0.02,3599,289,0.91,0.07
little_char_719_d.png,d,,428,4,0.99,0.01,432,0,1.00,0.00,432,0,1.00,0.00,409,23,0.95,0.05,302,130,0.70,0.30,430,2,1.00,0.00,414,18,0.96,0.04,341,91,0.79,0.21,428,4,0.99,0.01,3616,272,0.91,0.07
little_char_405_a.png,a,,432,0,1.00,0.00,375,57,0.87,0.13,432,0,1.00,0.00,414,18,0.96,0.04,290,142,0.67,0.33,422,10,0.98,0.02,431,1,1.00,0.00,432,0,1.00,0.00,432,0,1.00,0.00,3660,228,0.94,0.06
little_char_851_p.png,p,p,69,8,0.90,0.10,43,34,0.56,0.44,37,40,0.48,0.52,32,45,0.42,0.58,52,25,0.68,0.32,54,23,0.70,0.30,33,44,0.43,0.57,77,0,1.00,0.00,77,0,1.00,0.00,474,219,0.61,0.28
little_char_129_d.png,d,,414,0,1.00,0.00,392,22,0.95,0.05,413,1,1.00,0.00,372,42,0.90,0.10,303,111,0.73,0.27,414,0,1.00,0.00,359,55,0.87,0.13,362,52,0.87,0.13,414,0,1.00,0.00,3443,283,0.90,0.07
