Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_0_3,Black_0_3,White_Density_0_3,Black_Density_0_3,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_1_3,Black_1_3,White_Density_1_3,Black_Density_1_3,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,White_2_3,Black_2_3,White_Density_2_3,Black_Density_2_3,White_3_0,Black_3_0,White_Density_3_0,Black_Density_3_0,White_3_1,Black_3_1,White_Density_3_1,Black_Density_3_1,White_3_2,Black_3_2,White_Density_3_2,Black_Density_3_2,White_3_3,Black_3_3,White_Density_3_3,Black_Density_3_3,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
little_char_606_q.png,q,,22,18,0.55,0.45,18,22,0.45,0.55,15,25,0.38,0.62,31,9,0.78,0.23,21,19,0.53,0.47,26,14,0.65,0.35,19,21,0.47,0.53,4,36,0.10,0.90,40,0,1.00,0.00,18,22,0.45,0.55,3,37,0.07,0.93,19,21,0.47,0.53,40,0,1.00,0.00,24,16,0.60,0.40,11,29,0.28,0.72,40,0,1.00,0.00,351,289,0.48,0.39
little_char_300_m.png,m,rs,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,217,17,0.93,0.07,234,0,1.00,0.00,234,0,1.00,0.00,213,21,0.91,0.09,150,84,0.64,0.36,151,83,0.65,0.35,234,0,1.00,0.00,232,2,0.99,0.01,219,15,0.94,0.06,186,48,0.79,0.21,222,12,0.95,0.05,3462,282,0.89,0.07
little_char_620_e.png,e,,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,232,2,0.99,0.01,221,13,0.94,0.06,158,76,0.68,0.32,234,0,1.00,0.00,234,0,1.00,0.00,187,47,0.80,0.20,160,74,0.68,0.32,231,3,0.99,0.01,233,1,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,3528,216,0.91,0.06
little_char_1248_m.png,m,,50,0,1.00,0.00,22,28,0.44,0.56,41,9,0.82,0.18,39,11,0.78,0.22,28,22,0.56,0.44,38,12,0.76,0.24,16,34,0.32,0.68,14,36,0.28,0.72,17,33,0.34,0.66,50,0,1.00,0.00,13,37,0.26,0.74,33,17,0.66,0.34,29,21,0.58,0.42,50,0,1.00,0.00,34,16,0.68,0.32,38,12,0.76,0.24,512,288,0.52,0.29
little_char_22_d.png,d,,56,0,1.00,0.00,56,0,1.00,0.00,43,13,0.77,0.23,48,8,0.86,0.14,56,0,1.00,0.00,56,0,1.00,0.00,30,26,0.54,0.46,55,1,0.98,0.02,40,16,0.71,0.29,25,31,0.45,0.55,16,40,0.29,0.71,54,2,0.96,0.04,28,28,0.50,0.50,24,32,0.43,0.57,16,40,0.29,0.71,38,18,0.68,0.32,641,255,0.69,0.27
little_char_328_a.png,a,a,234,0,1.00,0.00,229,5,0.98,0.02,223,11,0.95,0.05,234,0,1.00,0.00,234,0,1.00,0.00,165,69,0.71,0.29,167,67,0.71,0.29,234,0,1.00,0.00,234,0,1.00,0.00,193,41,0.82,0.18,147,87,0.63,0.37,225,9,0.96,0.04,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,3455,289,0.87,0.07
little_char_719_d.png,d,,232,2,0.99,0.01,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,228,6,0.97,0.03,234,0,1.00,0.00,207,27,0.88,0.12,234,0,1.00,0.00,234,0,1.00,0.00,158,76,0.68,0.32,152,82,0.65,0.35,234,0,1.00,0.00,234,0,1.00,0.00,192,42,0.82,0.18,197,37,0.84,0.16,234,0,1.00,0.00,3472,272,0.88,0.07
little_char_405_a.png,a,,234,0,1.00,0.00,230,4,0.98,0.02,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,165,69,0.71,0.29,183,51,0.78,0.22,234,0,1.00,0.00,234,0,1.00,0.00,192,42,0.82,0.18,173,61,0.74,0.26,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,3517,227,0.90,0.06
little_char_851_p.png,p,p,40,0,1.00,0.00,26,14,0.65,0.35,20,20,0.50,0.50,16,24,0.40,0.60,31,9,0.78,0.23,12,28,0.30,0.70,30,10,0.75,0.25,14,26,0.35,0.65,13,27,0.33,0.68,24,16,0.60,0.40,35,5,0.88,0.12,40,0,1.00,0.00,14,26,0.35,0.65,32,8,0.80,0.20,40,0,1.00,0.00,40,0,1.00,0.00,427,213,0.55,0.27
little_char_129_d.png,d,,221,0,1.00,0.00,221,0,1.00,0.00,219,2,0.99,0.01,220,1,1.00,0.00,221,0,1.00,0.00,214,7,0.97,0.03,173,48,0.78,0.22,221,0,1.00,0.00,184,37,0.83,0.17,149,72,0.67,0.33,184,37,0.83,0.17,221,0,1.00,0.00,202,19,0.91,0.09,163,58,0.74,0.26,219,2,0.99,0.01,221,0,1.00,0.00,3253,283,0.85,0.07
