Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
little_char_606_q.png,q,,92,78,0.54,0.46,72,98,0.42,0.58,136,34,0.80,0.20,88,82,0.52,0.48,388,292,0.53,0.40
little_char_300_m.png,m,rs,941,31,0.97,0.03,972,0,1.00,0.00,846,126,0.87,0.13,812,160,0.84,0.16,3571,317,0.92,0.08
little_char_620_e.png,e,,847,89,0.90,0.10,934,2,1.00,0.00,815,121,0.87,0.13,932,4,1.00,0.00,3528,216,0.91,0.06
little_char_1248_m.png,m,,155,76,0.67,0.33,125,106,0.54,0.46,177,54,0.77,0.23,153,78,0.66,0.34,610,314,0.62,0.32
little_char_22_d.png,d,,224,0,1.00,0.00,176,48,0.79,0.21,117,107,0.52,0.48,124,100,0.55,0.45,641,255,0.69,0.27
little_char_328_a.png,a,a,892,80,0.92,0.08,888,84,0.91,0.09,937,35,0.96,0.04,882,90,0.91,0.09,3599,289,0.91,0.07
little_char_719_d.png,d,,964,8,0.99,0.01,941,31,0.97,0.03,854,118,0.88,0.12,857,115,0.88,0.12,3616,272,0.91,0.07
little_char_405_a.png,a,,894,78,0.92,0.08,913,59,0.94,0.06,934,38,0.96,0.04,919,53,0.95,0.05,3660,228,0.94,0.06
little_char_851_p.png,p,p,123,64,0.66,0.34,100,87,0.53,0.47,116,71,0.62,0.38,187,0,1.00,0.00,526,222,0.67,0.28
little_char_129_d.png,d,,920,25,0.97,0.03,900,45,0.95,0.05,755,190,0.80,0.20,922,23,0.98,0.02,3497,283,0.91,0.07
little_char_1227_t.png,t,b,873,63,0.93,0.07,935,1,1.00,0.00,851,85,0.91,0.09,927,9,0.99,0.01,3586,158,0.94,0.04
little_char_1373_y.png,y,s,266,34,0.89,0.11,186,114,0.62,0.38,261,39,0.87,0.13,208,92,0.69,0.31,921,279,0.74,0.23
little_char_568_h.png,h,,203,63,0.76,0.24,266,0,1.00,0.00,160,106,0.60,0.40,164,102,0.62,0.38,793,271,0.73,0.25
little_char_1039_v.png,v,,922,50,0.95,0.05,955,17,0.98,0.02,758,214,0.78,0.22,972,0,1.00,0.00,3607,281,0.91,0.07
little_char_866_l.png,l,,878,67,0.93,0.07,945,0,1.00,0.00,915,30,0.97,0.03,943,2,1.00,0.00,3681,99,0.96,0.03
little_char_1183_q.png,q,,785,151,0.84,0.16,936,0,1.00,0.00,850,86,0.91,0.09,936,0,1.00,0.00,3507,237,0.92,0.06
little_char_228_s.png,s,,862,83,0.91,0.09,945,0,1.00,0.00,848,97,0.90,0.10,945,0,1.00,0.00,3600,180,0.94,0.05
little_char_1019_d.png,d,d,875,35,0.96,0.04,910,0,1.00,0.00,707,203,0.78,0.22,910,0,1.00,0.00,3402,238,0.90,0.06
little_char_1198_e.png,e,,133,92,0.59,0.41,146,79,0.65,0.35,174,51,0.77,0.23,193,32,0.86,0.14,646,254,0.72,0.28
little_char_637_k.png,k,,250,56,0.82,0.18,289,17,0.94,0.06,149,157,0.49,0.51,240,66,0.78,0.22,928,296,0.76,0.24
little_char_206_y.png,y,y,879,57,0.94,0.06,855,81,0.91,0.09,876,60,0.94,0.06,845,91,0.90,0.10,3455,289,0.89,0.07
little_char_233_p.png,p,p,833,112,0.88,0.12,885,60,0.94,0.06,847,98,0.90,0.10,945,0,1.00,0.00,3510,270,0.92,0.07
little_char_1106_q.png,q,,115,75,0.61,0.39,68,122,0.36,0.64,179,11,0.94,0.06,92,98,0.48,0.52,454,306,0.55,0.37
little_char_107_y.png,y,,886,50,0.95,0.05,872,64,0.93,0.07,892,44,0.95,0.05,811,125,0.87,0.13,3461,283,0.91,0.07
little_char_1078_e.png,e,,85,47,0.64,0.36,52,80,0.39,0.61,74,58,0.56,0.44,113,19,0.86,0.14,324,204,0.56,0.35
little_char_1342_c.png,c,,116,38,0.75,0.25,113,41,0.73,0.27,98,56,0.64,0.36,105,49,0.68,0.32,432,184,0.65,0.28
little_char_960_o.png,o,,935,37,0.96,0.04,964,8,0.99,0.01,869,103,0.89,0.11,903,69,0.93,0.07,3671,217,0.94,0.06
little_char_1187_u.png,u,u,906,30,0.97,0.03,902,34,0.96,0.04,877,59,0.94,0.06,843,93,0.90,0.10,3528,216,0.92,0.06
